instancia,n,grafo,threads,fusiones,tiempo
21027,26,arbol,28,6,0.630121
21028,26,arbol,29,14,0.817324
21029,26,arbol,30,4,0.761596
21030,26,arbol,31,7,1.02261
21031,26,arbol,32,6,0.842156
21032,26,arbol,33,8,0.761209
21033,26,arbol,34,4,0.868652
21034,26,arbol,35,5,0.811
21035,26,arbol,36,0,1.07926
21036,26,arbol,37,6,0.930611
21037,26,arbol,38,6,0.983457
21038,26,arbol,39,0,0.996732
21039,26,arbol,40,5,1.17533
21040,26,arbol,1,0,0.069063
21041,26,arbol,2,1,0.130535
21042,26,arbol,3,6,0.295955
21043,26,arbol,4,5,0.286494
21044,26,arbol,5,12,0.33519
21045,26,arbol,6,0,0.178248
21046,26,arbol,7,6,0.25221
21047,26,arbol,8,4,0.23729
21048,26,arbol,9,0,0.235231
21049,26,arbol,10,4,0.343245
21050,26,arbol,11,2,0.287021
21051,26,arbol,12,5,0.375218
21052,26,arbol,13,1,0.347501
21053,26,arbol,14,0,0.498247
21054,26,arbol,15,2,0.414492
21055,26,arbol,16,0,0.421016
21056,26,arbol,17,0,0.745624
21057,26,arbol,18,8,0.612796
21058,26,arbol,19,0,0.476967
21059,26,arbol,20,0,0.50205
21060,26,arbol,21,0,0.466685
21061,26,arbol,22,0,0.541162
21062,26,arbol,23,3,0.573939
21063,26,arbol,24,0,0.528053
21064,26,arbol,25,0,0.544094
21065,26,arbol,26,6,0.709683
21066,26,arbol,27,4,0.720293
21067,26,arbol,28,0,0.917919
21068,26,arbol,29,8,0.998154
21069,26,arbol,30,0,0.85069
21070,26,arbol,31,3,1.10438
21071,26,arbol,32,0,0.780261
21072,26,arbol,33,5,0.794643
21073,26,arbol,34,4,0.987641
21074,26,arbol,35,8,0.911618
21075,26,arbol,36,0,0.864521
21076,26,arbol,37,6,1.23698
21077,26,arbol,38,7,0.888745
21078,26,arbol,39,2,0.948284
21079,26,arbol,40,11,0.962975
21080,26,arbol,1,0,0.058511
21081,26,arbol,2,1,0.089212
21082,26,arbol,3,6,1.60427
21083,26,arbol,4,2,0.133015
21084,26,arbol,5,0,0.136679
21085,26,arbol,6,6,0.328241
21086,26,arbol,7,6,0.242695
21087,26,arbol,8,6,0.241717
21088,26,arbol,9,9,0.296102
21089,26,arbol,10,4,0.427375
21090,26,arbol,11,8,0.409084
21091,26,arbol,12,7,0.331184
21092,26,arbol,13,4,0.369207
21093,26,arbol,14,4,0.338509
21094,26,arbol,15,3,0.385877
21095,26,arbol,16,7,0.503577
21096,26,arbol,17,6,0.430045
21097,26,arbol,18,6,0.497147
21098,26,arbol,19,6,0.512733
21099,26,arbol,20,12,0.749446
21100,26,arbol,21,4,0.50444
21101,26,arbol,22,4,0.474154
21102,26,arbol,23,0,0.535673
21103,26,arbol,24,0,0.568903
21104,26,arbol,25,9,0.860151
21105,26,arbol,26,13,0.964352
21106,26,arbol,27,4,0.678774
21107,26,arbol,28,5,0.744862
21108,26,arbol,29,0,0.639687
21109,26,arbol,30,9,0.723153
21110,26,arbol,31,6,0.744402
21111,26,arbol,32,0,0.703111
21112,26,arbol,33,2,0.997409
21113,26,arbol,34,3,1.05927
21114,26,arbol,35,2,0.923891
21115,26,arbol,36,7,1.00798
21116,26,arbol,37,0,0.950101
21117,26,arbol,38,0,1.00594
21118,26,arbol,39,11,1.1582
21119,26,arbol,40,0,1.18412
21120,26,arbol,1,0,0.125162
21121,26,arbol,2,8,0.407448
21122,26,arbol,3,6,0.27868
21123,26,arbol,4,0,0.144844
21124,26,arbol,5,4,0.216718
21125,26,arbol,6,0,0.248099
21126,26,arbol,7,8,0.403911
21127,26,arbol,8,7,0.323581
21128,26,arbol,9,4,0.256571
21129,26,arbol,10,4,0.294858
21130,26,arbol,11,6,0.333762
21131,26,arbol,12,0,0.324238
21132,26,arbol,13,6,0.393831
21133,26,arbol,14,0,0.352582
21134,26,arbol,15,0,0.43614
21135,26,arbol,16,7,0.45973
21136,26,arbol,17,6,0.478969
21137,26,arbol,18,4,0.455999
21138,26,arbol,19,2,0.512203
21139,26,arbol,20,0,0.581056
21140,26,arbol,21,7,0.545276
21141,26,arbol,22,0,0.523552
21142,26,arbol,23,8,0.604757
21143,26,arbol,24,6,0.582946
21144,26,arbol,25,8,0.755247
21145,26,arbol,26,7,0.646611
21146,26,arbol,27,4,0.583732
21147,26,arbol,28,6,0.679774
21148,26,arbol,29,5,0.723243
21149,26,arbol,30,0,0.656011
21150,26,arbol,31,5,0.659003
21151,26,arbol,32,2,0.756355
21152,26,arbol,33,9,0.842038
21153,26,arbol,34,5,1.558
21154,26,arbol,35,5,1.37001
21155,26,arbol,36,4,0.882764
21156,26,arbol,37,7,0.909552
21157,26,arbol,38,6,0.849606
21158,26,arbol,39,2,0.825667
21159,26,arbol,40,6,0.92327
21160,26,arbol,1,0,0.05603
21161,26,arbol,2,5,0.197533
21162,26,arbol,3,1,0.112633
21163,26,arbol,4,0,0.089894
21164,26,arbol,5,0,0.149425
21165,26,arbol,6,4,0.243747
21166,26,arbol,7,4,0.200896
21167,26,arbol,8,3,0.215536
21168,26,arbol,9,12,0.430171
21169,26,arbol,10,4,0.293951
21170,26,arbol,11,6,0.370312
21171,26,arbol,12,8,0.354431
21172,26,arbol,13,11,0.792794
21173,26,arbol,14,0,0.359428
21174,26,arbol,15,4,0.404165
21175,26,arbol,16,10,0.502811
21176,26,arbol,17,6,0.462315
21177,26,arbol,18,7,0.527548
21178,26,arbol,19,4,0.532176
21179,26,arbol,20,6,0.598143
21180,26,arbol,21,5,0.772503
21181,26,arbol,22,0,0.603484
21182,26,arbol,23,1,0.700201
21183,26,arbol,24,2,0.70763
21184,26,arbol,25,0,0.781654
21185,26,arbol,26,6,0.692998
21186,26,arbol,27,0,0.840768
21187,26,arbol,28,0,0.773638
21188,26,arbol,29,1,0.930222
21189,26,arbol,30,4,0.846661
21190,26,arbol,31,5,0.888652
21191,26,arbol,32,4,1.16042
21192,26,arbol,33,0,0.821135
21193,26,arbol,34,2,0.894044
21194,26,arbol,35,6,1.0393
21195,26,arbol,36,5,1.06272
21196,26,arbol,37,1,0.962318
21197,26,arbol,38,5,1.05007
21198,26,arbol,39,0,1.33802
21199,26,arbol,40,2,1.12711
21200,26,completo,1,0,0.167125
21201,26,completo,2,1,0.17657
21202,26,completo,3,6,0.420658
21203,26,completo,4,7,0.454472
21204,26,completo,5,6,0.380631
21205,26,completo,6,5,0.366456
21206,26,completo,7,5,0.377965
21207,26,completo,8,5,0.352306
21208,26,completo,9,5,0.347065
21209,26,completo,10,6,0.556302
21210,26,completo,11,7,0.356513
21211,26,completo,12,5,0.425996
21212,26,completo,13,5,0.454824
21213,26,completo,14,6,0.509113
21214,26,completo,15,7,0.546292
21215,26,completo,16,7,0.479958
21216,26,completo,17,5,0.55928
21217,26,completo,18,6,0.573268
21218,26,completo,19,6,0.519013
21219,26,completo,20,7,0.537275
21220,26,completo,21,3,0.6598
21221,26,completo,22,6,0.667776
21222,26,completo,23,5,0.700297
21223,26,completo,24,7,0.690417
21224,26,completo,25,6,0.946884
21225,26,completo,26,6,0.721871
21226,26,completo,27,6,0.800241
21227,26,completo,28,6,0.776791
21228,26,completo,29,7,0.882842
21229,26,completo,30,1,0.856532
21230,26,completo,31,7,0.933706
21231,26,completo,32,6,1.16742
21232,26,completo,33,6,0.90133
21233,26,completo,34,6,0.935121
21234,26,completo,35,5,0.919625
21235,26,completo,36,5,0.930922
21236,26,completo,37,6,0.93028
21237,26,completo,38,5,0.947124
21238,26,completo,39,5,0.993196
21239,26,completo,40,6,4.29352
21240,26,completo,1,0,0.131962
21241,26,completo,2,1,0.162093
21242,26,completo,3,6,0.292879
21243,26,completo,4,6,0.291939
21244,26,completo,5,6,0.320203
21245,26,completo,6,6,0.341233
21246,26,completo,7,7,0.358191
21247,26,completo,8,6,10.3194
21248,26,completo,9,5,0.326048
21249,26,completo,10,5,0.333282
21250,26,completo,11,5,1.14461
21251,26,completo,12,6,0.469299
21252,26,completo,13,5,0.526766
21253,26,completo,14,6,0.454544
21254,26,completo,15,7,0.558413
21255,26,completo,16,6,0.55286
21256,26,completo,17,6,0.466461
21257,26,completo,18,6,0.50144
21258,26,completo,19,6,0.506859
21259,26,completo,20,5,0.54387
21260,26,completo,21,7,0.717209
21261,26,completo,22,6,0.641844
21262,26,completo,23,7,0.67429
21263,26,completo,24,5,0.771679
21264,26,completo,25,5,0.726192
21265,26,completo,26,2,0.768657
21266,26,completo,27,3,0.773176
21267,26,completo,28,6,0.731494
21268,26,completo,29,3,0.761616
21269,26,completo,30,7,0.892092
21270,26,completo,31,6,11.1738
21271,26,completo,32,6,0.894702
21272,26,completo,33,6,0.951115
21273,26,completo,34,7,0.964405
21274,26,completo,35,5,1.00109
21275,26,completo,36,5,0.949549
21276,26,completo,37,7,1.15449
21277,26,completo,38,7,1.10608
21278,26,completo,39,5,1.42689
21279,26,completo,40,7,1.15561
21280,26,completo,1,0,0.153137
21281,26,completo,2,1,0.166466
21282,26,completo,3,6,0.310341
21283,26,completo,4,6,0.330741
21284,26,completo,5,6,0.352125
21285,26,completo,6,6,0.306686
21286,26,completo,7,7,0.392135
21287,26,completo,8,6,0.328158
21288,26,completo,9,7,0.358487
21289,26,completo,10,7,0.355855
